name_zh,name,year,produce_area,type,language,language_print,update,score,video_size,file_size,time,director,down_url
生态箱 / 园区 ,Vivarium ,2019 ,美国 / 比利时 / 爱尔兰 / 丹麦 ,科幻 / 悬疑 / 惊悚 ,英语 ,中英双字幕 ,2019-05-18(戛纳电影节) ,6.6/10 from 84 users ,1920 x 1080 ,1.7 GB ,97分钟 ,罗根·费纳根 Lorcan Finnegan ,ftp://ygdy8:ygdy8@yg90.dydytt.net:8063/阳光电影www.ygdy8.com.生态箱.BD.1080p.中英双字幕.mkv
星游记2 ,星游记之风暴法米拉2 ,2020 ,中国大陆 ,动画 / 奇幻 / 冒险 ,汉语普通话 ,中文 ,2020-03-28(中国大陆) ,"7.3/10 from 2,827 users ",1920 x 1080 , GB ,88分钟 ,胡一泊 Yibo Hu ,ftp://ygdy8:ygdy8@yg39.dydytt.net:3016/阳光电影www.ygdy8.com.星游记之风暴法米拉2.HD.1080p.国语中字.mkv
多力特的奇幻冒险/怪医D老笃(港)/怪医杜立德/怪医杜立德历险记/杜立德(台)/杜立德医生的旅行 ,Dolittle/The Vogage of Dr. Dolittle/The Voyage of Doctor Dolittle ,2020 ,美国 ,喜剧 / 奇幻 ,英语 ,中英双字幕 ,2020(中国大陆) / 2020-01-17(美国) ,"5.8/10 from 1,018 users ",1920 x 1040 ,1.79 GB ,101分钟 ,斯蒂芬·加汉 Stephen Gaghan ,ftp://ygdy8:ygdy8@yg90.dydytt.net:7063/阳光电影www.ygdy8.com.多力特的奇幻冒险.BD.1080p.中英双字幕.mkv
多力特的奇幻冒险/怪医D老笃(港)/怪医杜立德/怪医杜立德历险记/杜立德(台)/杜立德医生的旅行 ,暴躁家族 ,2019 ,中国大陆 ,剧情 / 喜剧 / 动作 / 犯罪 ,普通话 ,中文 ,2019-08-15(中国大陆) ,4.4/10 from 520 users ,1920 x 1080 ,1.91 GB ,90分钟 ,文一行 EasonWen ,ftp://ygdy8:ygdy8@yg39.dydytt.net:6019/阳光电影www.ygdy8.com.暴躁家族.HD.1080p.国语中字.mp4
隐形人/隐形客(港)/隐身人 ,The Invisible Man ,2020 ,"澳大利亚,美国,加拿大,英国 ",科幻 / 惊悚 / 恐怖 ,英语 ,中英双字幕 ,2020-02-28(美国) ,"7.3/10 from 34,955 users ",1920 x 1080 ,2.12 GB ,124分钟 ,雷·沃纳尔 Leigh Whannell ,ftp://ygdy8:ygdy8@yg39.dydytt.net:4021/阳光电影www.ygdy8.com.隐形人.BD.1080p.中英双字幕.mkv
狩猎/猎捕/追捕/猎逃生死战 ,The Hunt ,2020 ,美国 ,动作 / 惊悚 ,英语 ,中英双字幕 ,2020-03-13(美国) ,"7.0/10 from 11,483 users ",1920 x 1080 ,1.53 GB ,89分钟 ,克雷格·卓贝 Craig Zobel ,ftp://ygdy8:ygdy8@yg90.dydytt.net:8062/阳光电影www.ygdy8.com.狩猎.BD.1080p.中英双字幕.mkv
喋血战士/血卫(台) ,Bloodshot ,2020 ,中国大陆 / 美国 ,动作 / 科幻 ,英语 ,中英双字幕 ,2020(中国大陆) / 2020-03-13(美国) ,5.5/10 from 879 users ,1920 x 1080 ,2 GB ,109分钟 ,戴夫·威尔逊 Dave Wilson ,ftp://ygdy8:ygdy8@yg18.dydytt.net:8013/阳光电影www.ygdy8.com.喋血战士.BD.1080p.中英双字幕.mkv
爆裂老兵/海外作战退伍军人/美国国外战争退伍军人/老兵 ,V.F.W./Veterans of Foreign Wars ,2019 ,美国 ,动作/恐怖 ,英语 ,中英双字幕 ,2019-09-21(美国) ,5.1/10 from 231 users ,1920 x 1080 ,1.69 GB ,92分钟 ,Joe Begos ,ftp://ygdy8:ygdy8@yg18.dydytt.net:7013/阳光电影www.ygdy8.com.爆裂老兵.BD.1080p.中英双字幕.mkv
The Captain/The Chinese Pilot ,中国机长 ,2019 ,中国 ,剧情/ 灾难 ,"普通话,藏语,英语,四川话 ",中文 ,2019-09-30(中国大陆) ,"7.0/10 from 327,050 users ",1920 x 1080 ,1CD ,111分钟 ,刘伟强 Andrew Lau ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3018/阳光电影www.ygdy8.com.中国机长.BD.1080p.国语中英双字.mkv
哈莉·奎因：猛禽小队/猛禽小队/猛禽小队：小丑女大解放(台)/猛禽小队(以及一个哈莉·奎茵的奇妙解放)/猛禽小队与哈莉·奎茵的奇妙解放/猛禽小队和哈莉·奎茵/猛禽暴队：解疯小丑女(港) ,Harley Quinn: Birds of Prey/Birds of Prey/Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn) ,2020 ,美国 ,动作 / 犯罪 / 冒险 ,英语 ,中英双字幕 ,2020-02-07(美国) ,"6.6/10 from 6,312 users ",1920 x 1080 ,2 GB ,109分钟 ,阎羽茜 Cathy Yan ,ftp://ygdy8:ygdy8@yg39.dydytt.net:4020/阳光电影www.ygdy8.com.猛禽小队和哈莉·奎茵.BD.1080p.中英双字幕.mkv
饥饿站台/站台/绝命大平台(台)/饥饿斗室(港) ,El hoyo/La plataforma/The Platform ,2019 ,西班牙 ,科幻 / 惊悚 / 恐怖 ,西班牙语 ,中英双字幕 ,2019-09-06(多伦多电影节) / 2019-11-08(西班牙) ,"7.3/10 from 12,078 users ",1920 x 1080 ,1.64 GB ,94分钟 ,加尔德·加兹特鲁·乌鲁蒂亚 Galder Gaztelu-Urrutia ,ftp://ygdy8:ygdy8@yg18.dydytt.net:7012/阳光电影www.ygdy8.com.饥饿站台.BD.1080p.中英双字幕.mkv
小怪物/小怪兽/校外打怪教学(台)/老师·丧尸·小BB(港) ,Little Monsters ,2019 ,"英国,澳大利亚,美国 ",喜剧 / 恐怖 ,英语 ,中英双字幕 ,2019-01-27(圣丹斯电影节) / 2019-10-05(伦敦电影节) / 2019-10-08(美国) / 2019-11-15(英国) ,"6.4/10 from 2,815 users ",1920 x 1080 ,1.56 GB ,94分钟(圣丹斯电影节) ,亚伯·福赛斯 Abe Forsythe ,ftp://ygdy8:ygdy8@yg39.dydytt.net:6018/阳光电影www.ygdy8.com.小怪物.BD.1080p.中英双字幕.mkv
阴谋：作家之死 ,Intrigo: Death of an Author ,2018 ,瑞典 / 美国 / 德国 ,悬疑 / 犯罪 ,英语 ,中英双字幕 ,2018-10-11(德国) ,6.4/10 from 276 users ,1920 x 1080 ,1.84 GB ,94分钟(圣丹斯电影节) ,丹尼尔·阿尔弗雷森 Daniel Alfredson ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4016/阳光电影www.ygdy8.com.阴谋：作家之死.BD.1080p.中英双字幕.mkv
朱迪与潘趣/朱迪与庞奇 ,Judy and Punch ,2019 ,"澳大利亚,英国 ",剧情 / 喜剧 / 惊悚 / 犯罪 ,英语 ,中英双字幕 ,2019-01-27(圣丹斯电影节) / 2019-10-12(伦敦电影节) / 2019-11-21(澳大利亚) ,5.7/10 from 105 users ,1920 x 1080 ,1.83 GB ,106分钟(圣丹斯电影节) ,米拉·福尔克斯 Mirrah Foulkes ,ftp://ygdy8:ygdy8@yg18.dydytt.net:8012/阳光电影www.ygdy8.com.朱迪与潘趣.BD.1080p.中英双字幕.mkv
塔巴德/塔巴德村庄/塔巴德魔神/女神的子宮/村魔(港) ,Tumbbad ,2018 ,印度 ,剧情/惊悚/奇幻 ,印地语 ,中英双字幕 ,2018-08-29(威尼斯电影节)/2018-10-12(印度) ,"7.4/10 from 6,075 users ",1920 x 1080 ,1.74 GB ,104分钟 ,拉希·阿尼尔·巴夫 Rahi Anil Barve ,ftp://ygdy8:ygdy8@yg39.dydytt.net:4019/阳光电影www.ygdy8.com.塔巴德.BD.1080p.中英双字幕.mkv
The Composer ,音乐家 ,2019 ,中国大陆 / 哈萨克斯坦 ,剧情 / 历史 ,汉语普通话 / 俄语 ,中英双字幕 ,2019-04-13(北京国际电影节) / 2019-05-17(中国大陆) ,7.0/10 from 1839 users ,1920 x 1080 ,1.74 GB ,104分钟 ,西尔扎提·亚合甫 Xirzat Yahup ,ftp://ygdy8:ygdy8@yg18.dydytt.net:8011/阳光电影www.ygdy8.com.音乐家.HD.1080p.国语中英双字.mkv
偶像/权力杀机(台)/陰謬(港)/阴谬 ,Idol ,2019 ,韩国 ,惊悚 / 犯罪 ,韩语 ,中英双字幕 ,2019-02-08(柏林电影节) / 2019-03-20(韩国) ,5.8/10 from 934 users ,1920 x 1080 ,2.34 GB ,144分钟 ,李铢真 Su-jin Lee ,ftp://ygdy8:ygdy8@yg18.dydytt.net:5006/阳光电影www.ygdy8.com.偶像.BD.1080p.韩语中字.mkv
小森林/橫越生死線(台) ,Little Woods ,2018 ,美国 ,剧情 / 西部 ,英语 ,中英双字幕 ,2018-04-21(翠贝卡电影节) ,6.4/10 from 140 users ,1920 x 1080 ,1.79 GB ,105分钟 ,尼娅·达科斯塔 Nia DaCosta ,ftp://ygdy8:ygdy8@yg39.dydytt.net:6017/阳光电影www.ygdy8.com.小森林.BD.1080p.中英双字幕.mkv
奏冥曲 ,The Sonata ,2018 ,"英国,法国,俄罗斯,拉脱维亚 ",悬疑 / 惊悚 / 恐怖 ,英语 ,中英双字幕 ,2018-11-15(俄罗斯) / 2019-10-31(拉脱维亚) / 2020-01-10(美国) ,5.0/10 from 202 users ,1920 x 1080 ,1.61 GB ,88分钟 ,Andrew Desmond ,ftp://ygdy8:ygdy8@yg90.dydytt.net:7062/阳光电影www.ygdy8.com.奏冥曲.BD.1080p.中英双字幕.mkv
银行家 ,The Banker ,2019 ,美国 ,剧情 ,英语 ,中英双字幕 ,2019-12-06(美国) ,7.4/10 from 178 users ,1920 x 1080 ,2 GB ,120分钟 ,乔治·诺非 George Nolfi ,ftp://ygdy8:ygdy8@yg39.dydytt.net:4018/阳光电影www.ygdy8.com.银行家.BD.1080p.中英双字幕.mkv
The Winners ,大赢家 ,2020 ,中国大陆 ,喜剧 ,普通话 ,中英双字幕 ,2020-03-20(中国大陆) ,7.4/10 from 178 users ,1912 x 744 ,1.19 GB ,120分钟 ,于淼 Miao Yu ,ftp://ygdy8:ygdy8@yg18.dydytt.net:8010/阳光电影www.ygdy8.com.大赢家.HD.1080p.国语中英双字.mp4
刺猬索尼克/超音鼠大电影(港)/音速小子(台) ,Sonic the Hedgehog ,2020 ,"加拿大,日本,美国 ",喜剧 / 动作 / 动画 / 冒险 ,英语 ,中英双字幕 ,2020(中国大陆) / 2020-02-14(美国) ,"6.6/10 from 1,082 users ",1920 x 1080 ,1.82 GB ,100分钟 ,杰夫·福勒 Jeff Fowler ,ftp://ygdy8:ygdy8@yg39.dydytt.net:4017/阳光电影www.ygdy8.com.刺猬索尼克.BD.1080p.中英双字幕.mkv
正义的慈悲 / 不完美的正义(台) / 以公义之名(港) ,Just Mercy ,2019 ,美国 ,剧情 ,英语 ,中英双字幕 ,2019-09-06(多伦多电影节) / 2019-12-25(美国点映) / 2020-01-10(美国) ,7.7/10 from 2173 users ,1920 x 1040 ,2.28 GB ,136分钟 ,德斯汀·克里顿 Destin Cretton ,ftp://ygdy8:ygdy8@yg18.dydytt.net:7011/阳光电影www.ygdy8.com.正义的慈悲.BD.1080p.中英双字幕.mkv
无尽的战壕 ,La trinchera infinita/The Endless Trench ,2019 ,西班牙 ,剧情 ,西班牙语 ,中英双字幕 ,2019-10-31(西班牙) ,7.2/10 from 112 users ,1920 x 1080 ,2.4 GB ,147分钟 ,埃特尔·阿瑞吉 Aitor Arregi ,ftp://ygdy8:ygdy8@yg90.dydytt.net:8061/阳光电影www.ygdy8.com.无尽的战壕.BD.1080p.中英双字幕.mkv
雷米奇遇记/无亲的雷米/苦儿流浪记(台) ,"Rémi sans famille/Rémi, Nobody's Boy ",2018 ,法国 ,剧情 ,法语/国语 ,中文 ,2018-09-30(蒙彼利埃首映) / 2018-12-12(法国) / 2019-11-22(中国大陆) ,"7.6/10 from 1,964 users ",1920 x 1080 ,1.97 GB ,109分钟 ,安托万·布勒西耶 Antoine Blossier ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3017/阳光电影www.ygdy8.com.雷米奇遇记.BD.1080p.国法双语中字.mkv
通灵车教/极其普通 ,Extra Ordinary ,2019 ,"爱尔兰,比利时,芬兰,英国 ",喜剧 / 恐怖 / 奇幻 ,英语 ,中英双字幕 ,2019-03-10(西南偏南电影节) ,6.8/10 from 227 users ,1920 x 1080 ,1.73 GB ,94分钟 ,迈克·艾亨 Mike Ahern ,ftp://ygdy8:ygdy8@yg39.dydytt.net:6016/阳光电影www.ygdy8.com.通灵车教.BD.1080p.中英双字幕.mkv
通灵车教/极其普通 ,突袭之丛林脱险 ,2019 ,中国大陆 ,动作 / 科幻 / 悬疑 / 奇幻 / 冒险 ,普通话 ,中文 ,2020-01-21(中国大陆) ,6.8/10 from 227 users ,3840 x 1610 ,2.78 GB ,75分钟 ,苗金仓 ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3016/阳光电影www.ygdy8.com.突袭之丛林脱险.HD.2160p.国语中字.mp4
1917：逆战救兵(港)/一九一七 ,1917 ,2019 ,"英国,美国 ",剧情 / 战争 ,"英语,法语,德语 ",中英双字幕 ,2019-12-25(美国) / 2020(中国大陆) / 2020-01-10(英国) ,"8.5/10 from 138,755 users ",1920 x 1080 ,2.18 GB ,119分钟 ,萨姆·门德斯 Sam Mendes ,ftp://ygdy8:ygdy8@yg39.dydytt.net:4016/阳光电影www.ygdy8.com.一九一七.BD.1080p.中英双字幕.mkv
星球大战9：天行者崛起/星战9/星球大战9 ,Star Wars: The Rise of Skywalker/Star Wars 9/Star Wars: Episode IX ,2019 ,美国 ,动作/科幻/冒险 ,英语/国语 ,中英双字幕 ,2019-12-18(中国大陆)/2019-12-20(美国) ,6.5/10 from 56965 users ,1920 x 1080 ,2.51 GB ,142分钟 ,J·J·艾布拉姆斯 J.J. Abrams ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4014/阳光电影www.ygdy8.com.星球大战9：天行者崛起.BD.1080p.国英双语双字.mkv
不义之战/辣警霸王花2/辣警霸王花2不义之战 ,Special Female Force II ,2019 ,中国香港 ,剧情 / 动作 ,粤语/普通话 ,中文 ,2019-09-26(中国香港) ,6.5/10 from 56965 users ,1920 x 1080 ,1.75 GB ,96分钟 ,李志伦 Jacky Lee ,ftp://ygdy8:ygdy8@yg90.dydytt.net:6011/阳光电影www.ygdy8.com.不义之战.BD.1080p.国粤双语中字.mkv
别放手/只有你/重温死亡 ,Don't Let Go/Only You/Relive ,2019 ,美国 ,悬疑/惊悚/恐怖 ,英语 ,中英双字幕 ,2019-01-27(圣丹斯电影节) / 2019-08-30(美国) ,5.3/10 from 208 users ,1920 x 1080 ,1.79 GB ,107分钟(圣丹斯电影节) ,雅各布·艾伦·埃斯戴斯 Jacob Aaron Estes ,ftp://ygdy8:ygdy8@yg39.dydytt.net:6015/阳光电影www.ygdy8.com.别放手.BD.1080p.中英双字幕.mkv
星球大战9：天行者崛起/星战9/星球大战9 ,Star Wars: The Rise of Skywalker/Star Wars 9/Star Wars: Episode IX ,2019 ,美国 ,动作/科幻/冒险 ,英语 ,中英双字幕 ,2019-12-18(中国大陆)/2019-12-20(美国) ,6.5/10 from 56965 users ,1920 x 1080 ,2.4 GB ,142分钟 ,J·J·艾布拉姆斯 J.J. Abrams ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3015/阳光电影www.ygdy8.com.星球大战9：天行者崛起.BD.1080p.中英双字幕.mkv
变身特工/伪装间谍/变身特务(台)/变雀特工(港)/百变间谍王/间谍伪装/飞鸽特工队/鸽中谍 ,Spies in Disguise ,2019 ,美国 ,喜剧 / 动作 / 科幻 / 动画 ,英语/国语 ,中英双字幕 ,2019-12-04(加州首映) / 2019-12-25(美国) / 2020-01-03(中国大陆) ,"7.7/10 from 26,554 users ",1920 x 1080 ,1.6 GB ,102分钟 ,尼克·布鲁诺 Nick Bruno ,ftp://ygdy8:ygdy8@yg90.dydytt.net:7060/阳光电影www.ygdy8.com.变身特工.BD.1080p.国英双语双字.mkv
绑灵/Blinding Souls ,綁靈 ,2019 ,"中国香港,中国台湾 ",恐怖/惊悚 ,粤语/普通话 ,中文 ,2019-09-05(中国香港) ,4.0/10 from 74 users ,1920 x 1080 ,1.71 GB ,90分钟 ,陈鹏振 Pang-chun Chan ,ftp://ygdy8:ygdy8@yg39.dydytt.net:5008/阳光电影www.ygdy8.com.绑灵.BD.1080p.国粤双语中字.mkv
失踪女孩/失足少女/失踪的女孩：长岛连环杀人事件 ,Lost Girls ,2020 ,美国 ,剧情/悬疑/惊悚 ,英语 ,中英双字幕 ,2020-01-28(圣丹斯电影节) / 2020-03-13(美国) ,6.2/10 from 108 users ,1920 x 1080 , GB ,95分钟 ,丽兹·加巴斯 Liz Garbus ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3014/阳光电影www.ygdy8.com.失踪女孩.BD.1080p.中英双字幕.mkv
卡丁赛车王/爱上高卡车 ,Go!/Go Karts! ,2020 ,澳大利亚 ,剧情/家庭 ,英语 ,中英双字幕 ,2020-01-16(澳大利亚) / 2020-03-13(Netflix) ,6.2/10 from 108 users ,1920 x 1080 , GB ,102分钟 ,Owen Trevor ,ftp://ygdy8:ygdy8@yg39.dydytt.net:6013/阳光电影www.ygdy8.com.卡丁赛车王.BD.1080p.中英双字幕.mkv
Sheep Without a Shepherd/Visual ,误杀/误杀瞒天记中国版 ,2019 ,中国大陆 ,剧情 / 悬疑 / 犯罪 ,普通话 ,中文 ,2019-12-07(大规模点映) / 2019-12-13(中国大陆) ,"7.7/10 from 421,627 users ",1920 x 1080 ,1.97 GB ,112分钟 ,柯汶利 Sam Quah ,ftp://ygdy8:ygdy8@yg18.dydytt.net:8009/阳光电影www.ygdy8.com.误杀.HD.1080p.国语中英双字.mp4
白头山/白头山：半岛浩劫(台)/白头山：火山浩劫(港)/长白山 ,Ashfall ,2019 ,韩国 ,动作 / 灾难 ,"韩语,英语,汉语普通话 ",中文 ,2019-12-19(韩国) ,"6.5/10 from 19,280 users ",1920 x 1080 ,2.18 GB ,130分钟 ,李海准 Hae-jun Lee / 金丙书 Byung-seo Kim ,ftp://ygdy8:ygdy8@yg39.dydytt.net:4015/阳光电影www.ygdy8.com.白头山.BD.1080p.韩语中字.mkv
新咒怨(美版)/咒怨4(美版)/怨咒(台)/新美版咒怨 ,The Grudge ,2020 ,美国 ,恐怖/惊悚 ,英语 ,中英双字幕 ,2020-01-03(美国) ,"4.5/10 from 1,404 users ",1920 x 1080 ,1.56 GB ,93分钟 ,尼古拉斯·佩谢 Nicolas Pesce ,ftp://ygdy8:ygdy8@yg90.dydytt.net:8059/阳光电影www.ygdy8.com.新咒怨(美版).BD.1080p.中英双字幕.mkv
大理寺机密 ,狄仁杰之深海龙宫 ,2020 ,中国大陆 ,古装/悬疑/剧情 ,普通话 ,中文 ,2020-02-21(中国) ,"4.5/10 from 1,404 users ",3840 x 1638 ,2.15 GB ,93分钟 ,童辉 ,ftp://ygdy8:ygdy8@yg18.dydytt.net:7010/阳光电影www.ygdy8.com.狄仁杰之深海龙宫.HD.2160p.国语中字.mp4
南山的部长们 ,The Man Standing Next ,2020 ,韩国 ,剧情 ,韩语 ,中文 ,2020-01-22(韩国) ,"8.2/10 from 42,117 users ",1920 x 1080 ,2.01 GB ,114分钟 ,禹民镐 Min-ho Woo ,ftp://ygdy8:ygdy8@yg39.dydytt.net:4014/阳光电影www.ygdy8.com.南山的部长们.BD.1080p.韩语中字.mkv
Ne Zha/Nezha: Birth of the Demon Child ,哪吒之魔童降世/哪吒降世 ,2019 ,中国 ,剧情/喜剧/动画/奇幻 ,普通话 ,中英双字幕 ,2019-07-13(大规模点映)/2019-07-26(中国) ,8.6/10 from 963656 users ,1920 x 1080 ,1.79 GB ,110分钟 ,饺子 Yu Yang ,ftp://ygdy8:ygdy8@yg18.dydytt.net:5005/阳光电影www.ygdy8.com.哪吒之魔童降世.BD.1080p.国语中英双字.mkv
The Greatest Lover ,公子多情 ,1988 ,中国香港 ,喜剧/爱情 ,国语/粤语 ,中文 ,1988-07-30 ,"7.0/10 from 4,089 users ",1920 x 1080 ,1.77GB ,115分钟 ,霍耀良 Clarence Fok Yiu-leung ,ftp://ygdy8:ygdy8@yg90.dydytt.net:6010/阳光电影www.ygdy8.com.公子多情.BD.1080p.国粤双语中字.mkv
小妇人/她们(台) ,Little Women ,2019 ,美国 ,剧情/爱情 ,英语 ,中英双字幕 ,2019-12-25(美国) / 2020(中国大陆) ,"8.2/10 from 93,330 users ",1920 x 1080 ,2.24 GB ,135分钟 ,格蕾塔·葛韦格 Greta Gerwig ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4013/阳光电影www.ygdy8.com.小妇人.HD.1080p.中英双字幕.mkv
逃离比勒陀利亚 ,Escape from Pretoria ,2020 ,"英国,澳大利亚 ",剧情 / 惊悚 / 犯罪 ,英语 ,中英双字幕 ,2020-03-06(英国) ,7.5/10 from 271 users ,1920 x 1080 ,1.91 GB ,106分钟 ,Francis Annan ,ftp://ygdy8:ygdy8@yg39.dydytt.net:5007/阳光电影www.ygdy8.com.逃离比勒陀利亚.BD.1080p.中英双字幕.mkv
漫画威龙之大话特务/大画特务(台) ,Hitman: Agent Jun ,2020 ,韩国 ,喜剧/动作 ,韩语 ,中文 ,2020-01-22(韩国) ,"6.4/10 from 2,832 users ",1920 x 1080 ,1.97 GB ,110分钟 ,崔元燮 ,ftp://ygdy8:ygdy8@yg39.dydytt.net:4013/阳光电影www.ygdy8.com.漫画威龙之大话特务.BD.1080p.韩语中字.mkv
斯宾塞的机密任务/仙境/史宾赛的机密任务(台)/奇特之地/斯潘瑟机密/隐侠：地下正义(港) ,Spenser Confidential/Wonderland ,2020 ,美国 ,剧情 / 悬疑 / 惊悚 / 犯罪 ,英语 ,中英双字幕 ,2020-03-06(美国) ,"5.7/10 from 1,019 users ",1920 x 1080 ,1.96 GB ,110分钟 ,彼得·博格 Peter Berg ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4012/阳光电影www.ygdy8.com.斯宾塞的机密任务.BD.1080p.中英双字幕.mkv
与我跳舞 ,ダンスウィズミー/Dance With Me ,2019 ,日本 ,喜剧 / 歌舞 / 冒险 ,"日语,汉语普通话 ",中文 ,2019-06-15(上海电影节) / 2019-08-16(日本) ,"7.0/10 from 3,487 users ",1920 x 1080 ,1.79 GB ,104分钟 ,矢口史靖 Shinobu Yaguchi ,ftp://ygdy8:ygdy8@yg90.dydytt.net:7059/阳光电影www.ygdy8.com.与我跳舞.BD.1080p.日语中字.mkv
帕瓦罗蒂/巴伐洛堤: 歌剧人生(港)/帕瓦罗蒂：世纪男高音(台) ,Pavarotti ,2019 ,"英国,美国 ",纪录片 / 音乐 / 传记 ,英语 ,中英双字幕 ,2019-06-07(美国) ,8.3/10 from 723 users ,1920 x 1080 ,1.98 GB ,115分钟 ,朗·霍华德 Ron Howard ,ftp://ygdy8:ygdy8@yg39.dydytt.net:5006/阳光电影www.ygdy8.com.帕瓦罗蒂.BD.1080p.中英双字幕.mkv
失踪/Missing ,失蹤 ,2019 ,中国香港 ,剧情/悬疑 ,粤语/普通话 ,中文 ,2019-11-14(中国香港) ,8.3/10 from 723 users ,1920 x 1080 ,1.63 GB ,85分钟 ,赵罗尼 ,ftp://ygdy8:ygdy8@yg18.dydytt.net:6006/阳光电影www.ygdy8.com.失踪.BD.1080p.国粤双语中字.mkv
不义之战/辣警霸王花2/辣警霸王花2不义之战 ,Special Female Force II ,2019 ,中国香港 ,剧情 / 动作 ,粤语/普通话 ,中文 ,2019-09-26(中国香港) ,8.3/10 from 723 users ,1920 x 1080 ,1.66 GB ,96分钟 ,李志伦 Jacky Lee ,ftp://ygdy8:ygdy8@yg18.dydytt.net:5004/阳光电影www.ygdy8.com.不义之战.HD.1080p.国粤双语中字.mkv
哈莉·奎因：猛禽小队/猛禽小队/猛禽小队：小丑女大解放(台)/猛禽小队(以及一个哈莉·奎茵的奇妙解放)/猛禽小队与哈莉·奎茵的奇妙解放/猛禽小队和哈莉·奎茵/猛禽暴队：解疯小丑女(港) ,Harley Quinn: Birds of Prey/Birds of Prey/Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn) ,2020 ,美国 ,动作 / 犯罪 / 冒险 ,英语 ,中英双字幕 ,2020-02-07(美国) ,"6.6/10 from 6,312 users ",1920 x 1080 ,1.88 GB ,109分钟 ,阎羽茜 Cathy Yan ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4011/阳光电影www.ygdy8.com.哈莉·奎因：猛禽小队.HD.1080p.韩版中英双字.mkv
黑色圣诞节/圣诞大凶日(港)/黑色圣诞 ,Black Christmas ,2019 ,美国/新西兰 ,悬疑 / 惊悚 / 恐怖 ,英语 ,中英双字幕 ,2019-12-13(美国) ,3.7/10 from 303 users ,1920 x 1080 ,1.59 GB ,92分钟 ,索菲亚·塔卡尔 Sophia Takal ,ftp://ygdy8:ygdy8@yg39.dydytt.net:6012/阳光电影www.ygdy8.com.黑色圣诞节.BD.1080p.中英双字幕.mkv
理查德·朱维尔的哀歌/李察朱威尔事件(台)/李察朱维尔：惊世疑案(港)/理查德·朱厄尔/理查德·朱厄尔的悲歌/理查德·朱厄尔的歌谣/理查德·朱维尔的歌谣/理查德·杰威尔的歌谣/美国噩梦 ,Richard Jewell/American Nightmare/American Nightmare: The Ballad of Richard Jewell/The Ballad of Richard Jewell ,2019 ,美国 ,剧情 ,英语 ,中英双字幕 ,2019-11-20(AFI Fest) / 2019-12-13(美国) / 2020-01-10(中国大陆) ,"8.3/10 from 36,874 users ",1920 x 1080 ,2.27 GB ,131分钟 ,克林特·伊斯特伍德 Clint Eastwood ,ftp://ygdy8:ygdy8@yg18.dydytt.net:3012/阳光电影www.ygdy8.com.理查德·朱维尔的哀歌.BD.1080p.中英双字幕.mkv
The Wild Goose Lake ,南方车站的聚会/野鹅塘/野鹅湖 ,2019 ,"中国大陆,法国 ",剧情/犯罪 ,武汉方言 ,中文 ,2019-05-18(戛纳电影节) / 2019-12-06(中国大陆) ,"7.4/10 from 201,756 users ",1920 x 1012 ,1.93 GB ,113分钟 ,刁亦男 Yi'nan Diao ,ftp://ygdy8:ygdy8@yg90.dydytt.net:6009/阳光电影www.ygdy8.com.南方车站的聚会.HD.1080p.国语中字.mkv
恶棍/菜鸟罪犯与秘密地下室 ,Villains ,2019 ,美国 ,惊悚/剧情/喜剧/恐怖 ,英语 ,中英双字幕 ,2019-03-09(西南偏南电影节) / 2019-09-20(美国) ,5.4/10 from 674 users ,1920 x 1080 ,1.68 GB ,88分钟 ,丹·伯克 Dan Berk ,ftp://ygdy8:ygdy8@yg39.dydytt.net:7011/阳光电影www.ygdy8.com.恶棍.BD.1080p.中英双字幕.mkv
隐秘的生活/拉黛贡德/隐藏的生活(台) ,A Hidden Life/Radegund ,2019 ,"德国,美国 ",剧情 / 爱情 / 传记 / 战争 ,"英语,德语,意大利语 ",中英双字幕 ,2019-05-19(戛纳电影节) / 2019-12-13(美国) ,"7.9/10 from 2,227 users ",1920 x 1080 ,2.9 GB ,173分钟(戛纳电影节) ,泰伦斯·马力克 Terrence Malick ,ftp://ygdy8:ygdy8@yg18.dydytt.net:4010/阳光电影www.ygdy8.com.隐秘的生活.BD.1080p.中英双字幕.mkv
航海王：狂热行动/海贼王：狂热行动/航海王：夺宝争霸战(台) ,ONE PIECE STAMPEDE ,2019 ,日本 ,动画 / 冒险 ,日语 ,中文 ,2019-08-09(日本) / 2019-10-18(中国大陆) ,"7.7/10 from 68,964 users ",1920 x 1080 ,1.5 GB ,101分钟 ,大塚隆史 Takashi Otsuka ,ftp://ygdy8:ygdy8@yg39.dydytt.net:4012/阳光电影www.ygdy8.com.航海王：狂热行动.BD.1080p.日语中字.mkv
